OID_,Latitude,Longitude,Altitude_ft_asl,Aerosol_Type,Altitude_km_AGL
284,47.232775532821783,-115.878841376424106,2.260000000000000,3,1.1492521
285,47.235723776622386,-115.879965857183862,2.260000000000000,3,1.2572891
286,47.238672579315967,-115.881089590340963,2.260000000000000,3,1.1798960
287,47.241621907957281,-115.882212659504077,2.260000000000000,3,1.1758823
288,47.244571729601155,-115.883335148282015,2.260000000000000,3,1.2160739
289,47.247522011302372,-115.884457140283473,2.260000000000000,3,1.2657766
290,47.250472720115674,-115.885578719117078,2.260000000000000,3,1.4021076
291,47.253423823095879,-115.886699968391568,3.310000000000000,5,2.4510975
292,47.256375287297786,-115.887820971715698,3.310000000000000,5,2.5594566
293,47.259327079776128,-115.888941812698036,3.310000000000000,5,2.4005558
294,47.262279167585739,-115.890062574947422,3.370000000000000,5,2.4460645
295,47.265231517781395,-115.891183342072537,3.370000000000000,5,2.4211872
296,47.268184097417873,-115.892304197682037,3.370000000000000,5,2.3988235
297,47.271136873549935,-115.893425225384632,3.790000000000000,6,2.8283455
298,47.274089813232429,-115.894546508789077,3.790000000000000,6,2.7509527
299,47.277042869161654,-115.895668126967763,3.790000000000000,6,2.6894391
300,47.279995936600379,-115.896790140848481,3.190000000000000,5,2.0446281
301,47.282948896452851,-115.897912606822572,3.190000000000000,5,1.8928974
302,47.285901629623375,-115.899035581281481,3.190000000000000,5,1.8100111
303,47.288854017016270,-115.900159120616678,3.790000000000000,6,2.3547831
304,47.291805939535820,-115.901283281219634,3.790000000000000,6,2.2709858
305,47.294757278086287,-115.902408119481734,3.790000000000000,6,2.1521482
306,47.297707913571990,-115.903533691794422,3.790000000000000,6,2.2647727
307,47.300657726897235,-115.904660054549183,3.790000000000000,6,2.3531196
308,47.303606598966283,-115.905787264137373,3.790000000000000,6,2.3745396
309,47.306554410683447,-115.906915376950536,3.790000000000000,6,2.4232924
310,47.309501042953038,-115.908044449380057,3.790000000000000,6,2.6096303
311,47.312446376679311,-115.909174537817421,3.790000000000000,6,2.6183085
312,47.315390292766573,-115.910305698653957,3.790000000000000,6,2.5691125
313,47.318332672119141,-115.911437988281250,3.790000000000000,6,2.5255439
314,47.321273482294075,-115.912571445113628,3.790000000000000,6,2.5958796
315,47.324213037459700,-115.913706035657711,3.790000000000000,6,2.6583285
316,47.327151738437088,-115.914841708442964,3.790000000000000,6,2.8108640
317,47.330089986047334,-115.915978411998907,3.790000000000000,6,2.8548365
318,47.333028181111573,-115.917116094855089,3.790000000000000,6,2.7617755
319,47.335966724450870,-115.918254705541074,3.790000000000000,6,2.6914635
320,47.338906016886320,-115.919394192586310,3.790000000000000,6,2.6375005
321,47.341846459239022,-115.920534504520361,3.790000000000000,6,2.6971431
322,47.344788452330100,-115.921675589872791,3.790000000000000,6,2.7240524
323,47.347732396980597,-115.922817397173020,3.790000000000000,6,2.7432730
324,47.350678694011648,-115.923959874950640,3.790000000000000,6,2.7137177
325,47.353627744244356,-115.925102971735271,3.790000000000000,6,2.5362279
326,47.356579948499800,-115.926246636056277,3.790000000000000,6,2.4283319
327,47.359535707599065,-115.927390816443250,3.790000000000000,6,2.4030595
328,47.362495422363281,-115.928535461425781,3.790000000000000,6,2.3078251
329,47.365459327511985,-115.929680510076082,3.790000000000000,6,2.0964909
330,47.368426993358653,-115.930825863637935,3.790000000000000,6,2.0787439
331,47.371397824115206,-115.931971413897713,3.790000000000000,6,2.2289298
332,47.374371223993556,-115.933117052641862,3.790000000000000,6,2.2851398
333,47.377346597205666,-115.934262671656924,3.790000000000000,6,2.4130428
334,47.380323347963447,-115.935408162729317,3.790000000000000,6,2.4696896
335,47.383300880478814,-115.936553417645456,3.790000000000000,6,2.4574869
336,47.386278598963706,-115.937698328191885,3.790000000000000,6,2.4984217
337,47.389255907630066,-115.938842786155035,3.790000000000000,6,2.4662330
338,47.392232210689791,-115.939986683321308,3.790000000000000,6,2.5901020
339,47.395206912354823,-115.941129911477233,3.790000000000000,6,2.6748114
340,47.398179416837110,-115.942272362409284,3.790000000000000,6,2.6429164
341,47.401149128348557,-115.943413927903890,3.790000000000000,6,2.4205692
342,47.404115451101077,-115.944554499747454,3.790000000000000,6,2.2941799
343,47.407077789306648,-115.945693969726563,3.790000000000000,6,2.2163162
344,47.410035699944928,-115.946832262827641,3.790000000000000,6,2.2398961
345,47.412989351066777,-115.947969436837681,3.790000000000000,6,2.2846746
346,47.415939063490775,-115.949105582743499,3.790000000000000,6,2.2732532
347,47.418885158035529,-115.950240791532138,3.790000000000000,6,2.1461980
348,47.421827955519660,-115.951375154190572,3.790000000000000,6,2.1881237
349,47.424767776761769,-115.952508761705730,3.790000000000000,6,2.3221915
350,47.427704942580441,-115.953641705064527,3.790000000000000,6,2.3296044
351,47.430639773794297,-115.954774075253980,4.060000000000000,5,2.6621115
352,47.433572591221953,-115.955905963261046,4.060000000000000,5,2.7158968
353,47.436503715681965,-115.957037460072598,4.060000000000000,5,2.6714509
354,47.439433467992998,-115.958168656675667,4.060000000000000,5,2.7261040
355,47.442362168973631,-115.959299644057253,4.060000000000000,5,2.7396300
356,47.445290139442463,-115.960430513204201,4.060000000000000,5,2.9150615
357,47.448217700218080,-115.961561355103498,4.060000000000000,5,2.8112755
358,47.451145172119141,-115.962692260742188,4.060000000000000,5,2.8361812
359,47.454072841286489,-115.963823319834262,4.060000000000000,5,2.7328572
360,47.457000855150241,-115.964954617002576,4.060000000000000,5,2.6129632
361,47.459929326462728,-115.966086235596990,4.060000000000000,5,2.4321225
362,47.462858367976345,-115.967218258967392,4.060000000000000,5,2.5870452
363,47.465788092443461,-115.968350770463786,4.060000000000000,5,2.7020750
364,47.468718612616456,-115.969483853436074,4.060000000000000,5,2.8323786
365,47.471650041247663,-115.970617591234074,4.060000000000000,5,2.9848516
366,47.562987487995109,-116.006109864380832,4.060000000000000,5,2.9276891
367,47.565931848409249,-116.007255002361489,4.060000000000000,5,3.0208654
368,47.568875788236447,-116.008400185802486,4.060000000000000,5,2.9512782
369,47.571819372694243,-116.009545496239852,4.060000000000000,5,2.7983987
370,47.574762667000165,-116.010691015209517,4.060000000000000,5,2.8716450
371,47.577705736371691,-116.011836824247439,4.060000000000000,5,2.8256540
372,47.580648646026333,-116.012983004889534,4.060000000000000,5,2.7834642
373,47.583591461181648,-116.014129638671889,4.060000000000000,5,2.7130485
374,47.586534237704413,-116.015276789569725,4.060000000000000,5,2.7766712
375,47.589476994058764,-116.016424451316226,4.060000000000000,5,2.8700523
376,47.592419739358085,-116.017572600083739,4.060000000000000,5,2.8726528
377,47.595362482715800,-116.018721212044724,4.060000000000000,5,2.9397554
378,47.598305233245306,-116.019870263371715,4.060000000000000,5,2.8029592
379,47.601248000060039,-116.021019730237086,4.060000000000000,5,2.7110915
380,47.604190792273371,-116.022169588813270,4.060000000000000,5,2.4952388
381,47.607133618998731,-116.023319815272743,4.300000000000000,6,2.7681856
382,47.610076489349538,-116.024470385787993,4.300000000000000,6,2.9137526
383,47.613019412439179,-116.025621276531382,4.300000000000000,6,3.0373013
384,47.615962397381075,-116.026772463675442,4.300000000000000,6,3.0934503
385,47.618905453288654,-116.027923923392592,4.300000000000000,6,3.1776929
386,47.621848589275302,-116.029075631855278,4.300000000000000,6,3.2931881
387,47.624791814454419,-116.030227565235904,4.300000000000000,6,3.4292073
388,47.627735137939453,-116.031379699707060,4.300000000000000,6,3.2503355
389,47.630678565073325,-116.032532029010767,4.300000000000000,6,3.1423898
390,47.633622086117271,-116.033684617168504,4.300000000000000,6,3.0005274
391,47.636565687561983,-116.034837545771268,4.300000000000000,6,3.0470862
392,47.639509355898205,-116.035990896410127,4.300000000000000,6,3.1582832
393,47.642453077616707,-116.037144750676219,4.300000000000000,6,3.2938128
